week,date,away_team,home_team,model_spread_book,market_spread_book,edge_points_book,qualified_edge_flag
1,2025-08-23,Iowa State,Kansas State,-0.7399999999999991,-3.0,2.2600000000000007,0
1,2025-08-23,Fresno State,Kansas,-8.16,-14.0,5.84,1
1,2025-08-23,Sam Houston,Western Kentucky,-2.3599999999999994,-9.5,7.140000000000001,1
1,2025-08-23,Stanford,Hawai'i,1.1,-1.5,2.6,0
1,2025-08-28,Boise State,South Florida,-2.5599999999999996,5.5,-8.059999999999999,0
1,2025-08-28,Ohio,Rutgers,-4.140000000000001,-15.5,11.36,1
1,2025-08-28,Wyoming,Akron,-1.4199999999999988,5.0,-6.419999999999999,0
1,2025-08-28,Jacksonville State,UCF,-2.4799999999999995,-20.5,18.02,1
1,2025-08-28,East Carolina,NC State,-7.340000000000001,-13.5,6.159999999999999,1
1,2025-08-29,Buffalo,Minnesota,-6.5200000000000005,-16.5,9.98,1
1,2025-08-29,Miami (OH),Wisconsin,-3.7399999999999993,-18.0,14.260000000000002,1
1,2025-08-29,Nebraska,Cincinnati,-2.9999999999999987,6.0,-8.999999999999998,0
1,2025-08-29,Western Michigan,Michigan State,-3.8599999999999994,-21.5,17.64,1
1,2025-08-29,Kennesaw State,Wake Forest,-6.08,-18.5,12.42,1
1,2025-08-29,App State,Charlotte,-0.2799999999999997,8.5,-8.78,0
1,2025-08-30,Georgia Tech,Colorado,0.20000000000000018,3.5,-3.3,0
1,2025-08-30,Auburn,Baylor,-5.639999999999999,1.0,-6.639999999999999,1
1,2025-08-30,UNLV,Sam Houston,1.0399999999999991,9.0,-7.960000000000001,1
1,2025-08-30,Central Michigan,San José State,-5.819999999999999,-14.5,8.68,1
1,2025-08-30,Ball State,Purdue,-6.859999999999999,-16.5,9.64,1
1,2025-08-30,Mississippi State,Southern Miss,1.8599999999999994,14.5,-12.64,1
1,2025-08-30,Syracuse,Tennessee,-0.5399999999999991,-13.5,12.96,1
1,2025-08-30,Florida Atlantic,Maryland,-5.339999999999999,-13.5,8.16,1
1,2025-08-30,Northwestern,Tulane,-0.19999999999999996,-6.5,6.3,1
1,2025-08-30,Texas,Ohio State,-2.5599999999999996,-2.0,-0.5599999999999996,0
1,2025-08-30,Toledo,Kentucky,-3.4400000000000004,-10.0,6.56,1
1,2025-08-30,Old Dominion,Indiana,-2.680000000000001,-23.5,20.82,1
1,2025-08-30,Alabama,Florida State,0.9200000000000004,13.5,-12.58,1
1,2025-08-30,Marshall,Georgia,-4.9,-38.5,33.6,1
1,2025-08-30,Temple,Massachusetts,-1.7200000000000002,2.5,-4.220000000000001,0
1,2025-08-30,Nevada,Penn State,-7.92,-43.5,35.58,1
1,2025-08-30,Coastal Carolina,Virginia,-3.2399999999999993,-13.5,10.260000000000002,1
1,2025-08-30,UTSA,Texas A&M,-4.42,-23.5,19.08,1
1,2025-08-30,LSU,Clemson,-0.9800000000000011,-5.5,4.519999999999999,1
1,2025-08-30,New Mexico,Michigan,-8.8,-34.5,25.7,1
1,2025-08-30,UTEP,Utah State,-3.72,-4.5,0.7799999999999998,0
1,2025-08-30,Georgia State,Ole Miss,-2.560000000000001,-33.5,30.939999999999998,1
1,2025-08-31,Rice,Louisiana,-3.0,-9.5,6.5,1
1,2025-08-31,Eastern Michigan,Texas State,-8.2,-14.0,5.800000000000001,1
1,2025-08-31,Georgia Southern,Fresno State,2.8,-2.0,4.8,0
1,2025-08-31,Hawai'i,Arizona,-6.279999999999999,-15.5,9.22,1
1,2025-08-31,California,Oregon State,-2.12,2.5,-4.62,0
1,2025-08-31,Colorado State,Washington,-5.0,-22.5,17.5,1
1,2025-08-31,Utah,UCLA,-4.540000000000001,6.5,-11.040000000000001,1
1,2025-08-31,Virginia Tech,South Carolina,-1.4199999999999988,-7.5,6.080000000000001,1
1,2025-08-31,Notre Dame,Miami,1.2600000000000007,2.5,-1.2399999999999993,0
1,2025-09-02,TCU,North Carolina,1.9799999999999995,3.5,-1.5200000000000005,0
2,2025-09-05,James Madison,Louisville,-5.359999999999999,-14.25,8.89,1
2,2025-09-05,Northern Illinois,Maryland,-4.9799999999999995,-17.75,12.77,1
2,2025-09-06,San José State,Texas,-6.5600000000000005,-36.75,30.189999999999998,1
2,2025-09-06,Florida International,Penn State,-10.84,-42.5,31.66,1
2,2025-09-06,Iowa,Iowa State,-4.5200000000000005,-3.0,-1.5200000000000005,0
2,2025-09-06,Illinois,Duke,0.17999999999999972,2.75,-2.5700000000000003,0
2,2025-09-06,Virginia,NC State,-4.260000000000001,-2.75,-1.5100000000000007,0
2,2025-09-06,Baylor,SMU,-0.06000000000000094,-3.0,2.939999999999999,0
2,2025-09-06,UConn,Syracuse,-2.680000000000001,-6.75,4.0699999999999985,1
2,2025-09-06,Kent State,Texas Tech,-9.200000000000001,-48.25,39.05,1
2,2025-09-06,Liberty,Jacksonville State,-2.9599999999999995,6.5,-9.459999999999999,0
2,2025-09-06,Kennesaw State,Indiana,-6.380000000000001,-36.0,29.619999999999997,1
2,2025-09-06,Central Michigan,Pittsburgh,-7.84,-21.5,13.66,1
2,2025-09-06,Utah State,Texas A&M,-6.860000000000001,-29.0,22.14,1
2,2025-09-06,Bowling Green,Cincinnati,-9.719999999999999,-21.25,11.530000000000001,1
2,2025-09-06,Ole Miss,Kentucky,-2.9200000000000004,10.25,-13.17,0
2,2025-09-06,Kansas,Missouri,0.7200000000000002,-6.5,7.220000000000001,0
2,2025-09-06,Fresno State,Oregon State,-4.839999999999999,-3.25,-1.589999999999999,0
2,2025-09-06,Troy,Clemson,-8.440000000000001,-33.5,25.06,1
2,2025-09-06,UAB,Navy,-2.5200000000000005,-21.5,18.98,1
2,2025-09-06,Oklahoma State,Oregon,-1.7799999999999998,-28.25,26.47,1
2,2025-09-06,North Texas,Western Michigan,-2.6400000000000006,9.75,-12.39,0
2,2025-09-06,Texas State,UTSA,-1.0400000000000005,-4.5,3.4599999999999995,0
2,2025-09-06,Miami (OH),Rutgers,-3.88,-14.25,10.370000000000001,1
2,2025-09-06,West Virginia,Ohio,-0.5599999999999994,2.75,-3.3099999999999996,0
2,2025-09-06,Middle Tennessee,Wisconsin,-5.38,-28.5,23.12,1
2,2025-09-06,South Florida,Florida,-3.6,-17.25,13.65,1
2,2025-09-06,Arkansas State,Arkansas,-0.8200000000000003,-23.25,22.43,1
2,2025-09-06,Memphis,Georgia State,-4.039999999999999,13.5,-17.54,1
