week,home_team,away_team,UPA_pred_spread_home_minus_away,baseline_power_diff,HFA_points,market_spread_home_minus_away,sportsbook,as_of,value_edge_points
Week 1 (Aug 28-Sept 1),Oregon,Montana State,46.74,44.24,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Florida State,Alabama,-43.85,-46.35,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Penn State,Nevada,43.23,40.73,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Michigan,New Mexico,42.54,40.04,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Ohio State,Texas,-42.45,-44.95,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Florida,Long Island,41.83,39.33,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Clemson,LSU,-41.05,-43.55,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Oklahoma,Illinois State,40.43,37.93,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Miami (FL),Notre Dame,-38.94,-41.44,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Miami (FL),Notre Dame,-38.94,-41.44,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),USC,Missouri State,38.32,35.82,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Tennessee,vs Syracuse,36.53,36.53,0.0,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Baylor,Auburn,-36.12,-38.62,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),@ Baylor,Auburn,-36.12,-38.62,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Ole Miss,Georgia State,35.51,33.01,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),South Carolina,vs Virginia Tech,35.11,35.11,0.0,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Missouri,Central Arkansas,34.81,32.31,2.5,,FanDuel,2025-08-31 21:45 UTC,
Week 1 (Aug 28-Sept 1),Arkansas,Alabama A&M,34.1,31.6,2.5,,FanDuel,2025-08-31 21:45 UTC,
