event_id,date,state,detail,clock,period,venue,home_team,away_team,home_school,away_school,home_points,away_points
401760373,2025-09-21T01:30Z,in,13:10 - 4th Quarter,13:10,4,Canvas Stadium,Colorado State Rams,UTSA Roadrunners,Colorado State,UTSA,3,10
401756897,2025-09-21T02:25Z,in,12:15 - 3rd Quarter,12:15,3,Folsom Field,Colorado Buffaloes,Wyoming Cowboys,Colorado,Wyoming,28,10
401754540,2025-09-21T02:30Z,in,11:03 - 3rd Quarter,11:03,3,Snapdragon Stadium,San Diego State Aztecs,California Golden Bears,San Diego State,California,20,0
401752847,2025-09-21T03:00Z,in,1:00 - 2nd Quarter,1:00,2,Los Angeles Memorial Coliseum,USC Trojans,Michigan State Spartans,USC,Michigan State,17,10
401760374,2025-09-21T03:59Z,in,12:38 - 2nd Quarter,12:38,2,Clarence T.C. Ching Athletics Complex,Hawai'i Rainbow Warriors,Fresno State Bulldogs,Hawai'i,Fresno State,0,0
401752710,2025-09-20T23:45Z,post,Final,0:00,4,Tiger Stadium (LA),LSU Tigers,SE Louisiana Lions,LSU,SE Louisiana,56,10
401752709,2025-09-20T23:30Z,post,Final,0:00,4,Hard Rock Stadium,Miami Hurricanes,Florida Gators,Miami,Florida,26,7
401752841,2025-09-20T19:00Z,post,Final,0:00,4,Autzen Stadium,Oregon Ducks,Oregon State Beavers,Oregon,Oregon State,41,7
401754541,2025-09-20T19:30Z,post,Final,0:00,4,Doak Campbell Stadium,Florida State Seminoles,Kent State Golden Flashes,Florida State,Kent State,66,10
401752723,2025-09-21T00:00Z,post,Final,0:00,4,DKR-Texas Memorial Stadium,Texas Longhorns,Sam Houston Bearkats,Texas,Sam Houston,55,0
401752843,2025-09-20T23:30Z,post,Final,0:00,4,"Memorial Stadium (Bloomington, IN)",Indiana Hoosiers,Illinois Fighting Illini,Indiana,Illinois,63,10
401752714,2025-09-20T19:30Z,post,Final,0:00,4,"Memorial Stadium (Norman, OK)",Oklahoma Sooners,Auburn Tigers,Oklahoma,Auburn,24,17
401752711,2025-09-20T19:30Z,post,Final,0:00,4,Vaught-Hemingway Stadium,Ole Miss Rebels,Tulane Green Wave,Ole Miss,Tulane,45,10
401752715,2025-09-20T16:45Z,post,Final,0:00,4,Neyland Stadium,Tennessee Volunteers,UAB Blazers,Tennessee,UAB,56,24
401756901,2025-09-20T16:00Z,post,Final,0:00,4,Rice-Eccles Stadium,Utah Utes,Texas Tech Red Raiders,Utah,Texas Tech,10,34
401754542,2025-09-20T21:05Z,post,Final,0:00,4,Bobby Dodd Stadium,Georgia Tech Yellow Jackets,Temple Owls,Georgia Tech,Temple,45,24
401752716,2025-09-20T23:30Z,post,Final,0:00,4,FirstBank Stadium,Vanderbilt Commodores,Georgia State Panthers,Vanderbilt,Georgia State,70,21
