week,home_team,away_team,neutral_site
Week 1 (Aug 28-Sept 1),Boston College,Fordham,False
Week 2 (Sept 5-6),@ Michigan State,Boston College,False
Week 3 (Sept 11-13),@ Stanford,Boston College,False
Week 5 (Sept 25-27),Boston College,Cal,False
Week 6 (Oct 2-4),@ Pitt,Boston College,False
Week 7 (Oct 8-11),Boston College,Clemson,False
Week 8 (Oct 14-18),Boston College,UConn,False
Week 9 (Oct 21-25),@ Louisville,Boston College,False
Week 10 (Oct 28-Nov 1),Boston College,Notre Dame,False
Week 11 (Nov 4-8),Boston College,SMU,False
Week 12 (Nov 11-15),Boston College,Georgia Tech,False
Week 14 (Nov 25-29),@ Syracuse,Boston College,False
Week 1 (Aug 28-Sept 1),@ Oregon State,Cal,False
Week 2 (Sept 5-6),Cal,Texas Southern,False
Week 3 (Sept 11-13),Cal,Minnesota,False
Week 4 (Sept 18-20),@ San Diego State,Cal,False
Week 5 (Sept 25-27),@ Boston College,Cal,False
Week 6 (Oct 2-4),Cal,Duke,False
Week 8 (Oct 14-18),Cal,North Carolina,False
Week 9 (Oct 21-25),@ Virginia Tech,Cal,False
Week 10 (Oct 28-Nov 1),Cal,Virginia,False
Week 11 (Nov 4-8),@ Louisville,Cal,False
Week 13 (Nov 18-22),@ Stanford,Cal,False
Week 14 (Nov 25-29),Cal,SMU,False
Week 1 (Aug 28-Sept 1),Clemson,LSU,False
Week 2 (Sept 5-6),Clemson,Troy,False
Week 3 (Sept 11-13),@ Georgia Tech,Clemson,False
Week 4 (Sept 18-20),Clemson,Syracuse,False
Week 6 (Oct 2-4),@ North Carolina,Clemson,False
Week 7 (Oct 8-11),@ Boston College,Clemson,False
Week 8 (Oct 14-18),Clemson,SMU,False
Week 10 (Oct 28-Nov 1),Clemson,Duke,False
Week 11 (Nov 4-8),Clemson,Florida State,False
Week 12 (Nov 11-15),@ Louisville,Clemson,False
Week 13 (Nov 18-22),Clemson,Furman,False
Week 14 (Nov 25-29),@ South Carolina,Clemson,False
Week 1 (Aug 28-Sept 1),Duke,Elon,False
Week 2 (Sept 5-6),Duke,Illinois,False
Week 3 (Sept 11-13),@ Tulane,Duke,False
Week 4 (Sept 18-20),Duke,NC State,False
Week 5 (Sept 25-27),@ Syracuse,Duke,False
Week 6 (Oct 2-4),@ Cal,Duke,False
Week 8 (Oct 14-18),Duke,Georgia Tech,False
Week 10 (Oct 28-Nov 1),@ Clemson,Duke,False
Week 11 (Nov 4-8),@ UConn,Duke,False
Week 12 (Nov 11-15),Duke,Virginia,False
Week 13 (Nov 18-22),@ North Carolina,Duke,False
Week 14 (Nov 25-29),Duke,Wake Forest,False
Week 1 (Aug 28-Sept 1),Florida State,Alabama,False
Week 2 (Sept 5-6),Florida State,East Texas A&M,False
