team,conference,_overall,_offense,_defense,_ppa_tot,_ppa_off,_ppa_def,wrps_offense_percent,wrps_defense_percent,wrps_overall_percent,wrps_percent_0_100,talent_score_0_100,srs_rating,srs_rank_1_133,srs_score_0_100,prev_season_sos_rank_1_133,portal_net_0_100,portal_net_count,portal_net_value
Boston College,ACC,,,,257.8,84.3,,37.1,,50.3,50.3,64.0,-4.4,,62.4,,,,
California,ACC,,,,84.6,-11.0,,3.1,,13.7,13.7,71.7,3.0,,70.5,,,,
Clemson,ACC,,,,374.4,192.8,,75.7,,74.9,74.9,91.4,6.7,,74.6,,,,
Duke,ACC,,,,65.9,-10.100000000000001,,3.4,,9.8,9.8,65.9,1.4,,68.8,,,,
Florida State,ACC,,,,26.1,-8.0,,4.1,,1.4,1.4,82.2,27.4,,97.4,,,,
Georgia Tech,ACC,,,,391.9,215.6,,83.9,,78.6,78.6,70.7,13.9,,82.5,,,,
Louisville,ACC,,,,256.4,95.3,,41.0,,50.0,50.0,69.1,2.1,,69.5,,,,
Miami,ACC,,,,94.6,79.69999999999999,,35.4,,15.9,15.9,86.9,18.5,,87.6,,,,
NC State,ACC,,,,439.0,192.2,,75.5,,88.6,88.6,69.8,12.1,,80.5,,,,
North Carolina,ACC,,,,68.5,14.700000000000001,,12.2,,10.3,10.3,74.5,-11.7,,54.3,,,,
Pittsburgh,ACC,,,,347.4,179.3,,70.9,,69.2,69.2,67.1,4.8,,72.5,,,,
SMU,ACC,,,,282.3,186.7,,73.6,,55.5,55.5,75.9,-0.7,,66.4,,,,
Stanford,ACC,,,,38.6,1.6000000000000005,,7.6,,4.0,4.0,69.8,-3.6,,63.3,,,,
Syracuse,ACC,,,,96.9,-5.4,,5.1,,16.3,16.3,71.9,3.0,,70.5,,,,
Virginia,ACC,,,,88.4,26.0,,16.3,,14.5,14.5,65.7,8.9,,77.0,,,,
Virginia Tech,ACC,,,,152.1,82.3,,36.3,,28.0,28.0,70.3,-11.1,,55.0,,,,
Wake Forest,ACC,,,,97.5,35.5,,19.7,,16.5,16.5,61.6,-1.7,,65.3,,,,
Army,American Athletic,,,,92.9,63.2,,29.5,,15.5,15.5,0.0,-3.6,,63.3,,,,
Charlotte,American Athletic,,,,61.8,2.5,,7.9,,8.9,8.9,51.3,-34.3,,29.5,,,,
Charlotte,American Athletic,,,,61.8,2.5,,7.9,,8.9,8.9,51.3,-34.3,,29.5,,,,
East Carolina,American Athletic,,,,225.5,112.0,,46.9,,43.5,43.5,60.0,10.6,,78.9,,,,
Florida Atlantic,American Athletic,,,,72.8,24.700000000000003,,15.8,,11.3,11.3,59.4,-21.9,,43.1,,,,
Memphis,American Athletic,,,,66.7,20.5,,14.3,,10.0,10.0,65.9,5.2,,72.9,,,,
Navy,American Athletic,,,,331.9,210.89999999999998,,82.2,,66.0,66.0,,10.1,,78.3,,,,
North Texas,American Athletic,,,,329.2,76.3,,34.2,,65.4,65.4,55.7,20.0,,89.2,,,,
Rice,American Athletic,,,,211.1,29.0,,17.3,,40.5,40.5,51.7,-12.3,,53.7,,,,
South Florida,American Athletic,,,,391.5,162.2,,64.8,,78.5,78.5,65.7,5.3,,73.0,,,,
Temple,American Athletic,,,,246.7,64.1,,29.9,,48.0,48.0,49.4,-8.9,,57.4,,,,
Tulane,American Athletic,,,,75.2,51.5,,25.4,,11.8,11.8,64.0,7.3,,75.2,,,,
Tulsa,American Athletic,,,,311.0,97.6,,41.8,,61.5,61.5,58.3,-6.5,,60.1,,,,
UAB,American Athletic,,,,326.3,142.5,,57.8,,64.8,64.8,52.8,-8.4,,58.0,,,,
UTSA,American Athletic,,,,430.8,194.7,,76.4,,86.8,86.8,65.2,-7.5,,59.0,,,,
Arizona,Big 12,,,,199.6,101.3,,43.1,,38.0,38.0,64.1,7.6,,75.6,,,,
Arizona State,Big 12,,,,367.1,185.2,,73.0,,73.4,73.4,73.0,7.0,,74.9,,,,
BYU,Big 12,,,,345.6,175.0,,69.4,,68.9,68.9,63.9,20.7,,90.0,,,,
Baylor,Big 12,,,,428.0,228.0,,88.3,,86.3,86.3,71.7,-4.5,,62.3,,,,
Cincinnati,Big 12,,,,337.5,139.7,,56.8,,67.1,67.1,63.4,8.0,,76.0,,,,
Colorado,Big 12,,,,37.0,-9.6,,3.6,,3.7,3.7,74.7,5.0,,72.7,,,,
Houston,Big 12,,,,149.4,35.5,,19.7,,27.4,27.4,64.6,13.9,,82.5,,,,
Iowa State,Big 12,,,,292.2,196.10000000000002,,76.9,,57.6,57.6,63.8,1.6,,69.0,,,,
Kansas,Big 12,,,,197.2,184.0,,72.6,,37.5,37.5,69.6,12.9,,81.4,,,,
Kansas State,Big 12,,,,349.1,201.7,,78.9,,69.6,69.6,69.7,-2.5,,64.5,,,,
Oklahoma State,Big 12,,,,189.2,107.89999999999999,,45.5,,35.8,35.8,69.3,-4.9,,61.8,,,,
TCU,Big 12,,,,350.5,235.0,,90.8,,69.9,69.9,73.7,8.5,,76.6,,,,
Texas Tech,Big 12,,,,332.6,179.0,,70.8,,66.1,66.1,74.9,10.4,,78.7,,,,
UCF,Big 12,,,,117.0,81.0,,35.9,,20.6,20.6,70.1,4.0,,71.6,,,,
Utah,Big 12,,,,36.0,8.8,,10.1,,3.5,3.5,69.9,19.4,,88.6,,,,
West Virginia,Big 12,,,,127.0,40.8,,21.5,,22.7,22.7,65.2,3.7,,71.3,,,,
